REG_CODE,POPEST95
18005,24176
18019,67428
18001,34093
18016,254139
18008,56677
18017,116120
18010,60284
18012,23880
18018,37203
18007,23900
18009,104732
18015,63657
18013,239743
18003,19120
18004,40543
18002,155595
18014,104453
18006,159136
18011,53111
